Type,Race,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Undergraduate,White,62.40%,62.20%,60.30%,58.10%,54.80%,51.40%,48.40%,45.30%,44.00%,42.40%,41.40%,40.60%
Undergraduate,International,5.40%,5.80%,5.90%,6.20%,6.80%,7.10%,7.70%,8.80%,9.70%,9.40%,10.10%,10.20%
Undergraduate,Asian/Pacific Islander,7.50%,8.10%,8.50%,10.10%,11.60%,12.60%,13.70%,14.20%,14.60%,16.30%,16.90%,17.80%
Undergraduate,Black,7.50%,7.60%,8.00%,8.00%,8.40%,9.20%,10.30%,10.80%,11.00%,11.00%,10.70%,10.40%
Undergraduate,Hispanic,7.70%,7.90%,7.90%,8.00%,8.40%,9.20%,9.60%,9.90%,10.00%,10.10%,10.70%,11.00%
Undergraduate,Two or More Races,4.10%,4.60%,4.90%,4.80%,4.70%,4.90%,5.10%,5.60%,5.50%,5.70%,5.70%,5.80%
Undergraduate,Race Unknown,5.10%,3.50%,4.20%,4.40%,4.90%,5.10%,4.70%,4.90%,4.70%,4.70%,4.10%,3.90%
Undergraduate,American Indian,0.30%,0.30%,0.40%,0.30%,0.40%,0.50%,0.50%,0.50%,0.50%,0.40%,0.40%,0.40%
Graduate,White,57.60%,56.70%,56.00%,55.60%,56.10%,54.90%,54.50%,53.90%,51.80%,53.90%,51.50%,49.60%
Graduate,International,22.70%,23.50%,23.30%,23.30%,23.10%,23.30%,23.40%,23.40%,25.60%,23.40%,24.90%,26.20%
Graduate,Asian/Pacific Islander,3.80%,3.60%,4.10%,4.30%,4.00%,4.20%,4.30%,4.70%,4.50%,4.50%,5.30%,6.00%
Graduate,Black,6.30%,5.40%,5.10%,5.10%,5.30%,5.80%,5.70%,5.90%,5.70%,5.70%,5.70%,6.00%
Graduate,Hispanic,4.00%,4.30%,4.60%,5.10%,5.10%,5.30%,5.80%,6.20%,6.60%,7.40%,7.30%,7.20%
Graduate,Two or More Races,2.10%,2.50%,2.20%,2.30%,2.60%,3.20%,3.30%,3.70%,3.80%,3.60%,3.70%,3.70%
Graduate,Race Unknown,3.20%,3.60%,4.60%,4.10%,3.60%,3.10%,2.80%,2.00%,1.80%,1.20%,1.40%,1.20%
Graduate,American Indian,0.20%,0.20%,0.20%,0.20%,0.10%,0.20%,0.10%,0.20%,0.20%,0.30%,0.20%,0.10%
Professional,White,69.10%,66.50%,66.50%,67.40%,67.70%,68.40%,67.70%,67.70%,66.00%,67.50%,64.60%,61.50%
Professional,International,7.40%,7.50%,7.60%,7.10%,8.40%,9.40%,9.20%,7.80%,8.00%,4.90%,7.40%,8.70%
Professional,Asian/Pacific Islander,5.60%,5.80%,5.40%,5.20%,5.00%,4.60%,5.70%,5.80%,6.30%,6.30%,6.70%,7.50%
Professional,Black,6.60%,7.90%,7.90%,7.40%,6.40%,6.70%,7.40%,9.00%,9.00%,8.90%,8.70%,9.20%
Professional,Hispanic,2.90%,3.40%,3.60%,4.10%,4.70%,4.90%,5.10%,5.10%,5.70%,6.90%,7.60%,7.70%
Professional,Two or More Races,1.80%,1.80%,1.30%,2.00%,2.50%,2.90%,2.90%,2.50%,2.60%,3.00%,3.00%,3.40%
Professional,Race Unknown,6.50%,6.80%,7.30%,6.40%,5.00%,2.90%,1.70%,1.90%,2.00%,2.20%,1.70%,1.70%
Professional,American Indian,0.10%,0.40%,0.40%,0.30%,0.30%,0.10%,0.20%,0.30%,0.30%,0.30%,0.40%,0.30%
