"","Race","Year","Percentage","Race Category"
"1","White","2011",63.5,"White"
"2","International","2011",9.1,"International"
"3","Asian/Pacific Islander","2011",6.3,"Nonwhite"
"4","Black","2011",7,"Nonwhite"
"5","Hispanic","2011",5.7,"Nonwhite"
"6","Two or More Races","2011",3.1,"Nonwhite"
"7","Race Unknown","2011",5.2,"Unknown"
"8","American Indian","2011",0.2,"Nonwhite"
"9","White","2012",62.4,"White"
"10","International","2012",9.5,"International"
"11","Asian/Pacific Islander","2012",6.6,"Nonwhite"
"12","Black","2012",7.3,"Nonwhite"
"13","Hispanic","2012",6,"Nonwhite"
"14","Two or More Races","2012",3.4,"Nonwhite"
"15","Race Unknown","2012",4.5,"Unknown"
"16","American Indian","2012",0.3,"Nonwhite"
"17","White","2013",61.3,"White"
"18","International","2013",9.5,"International"
"19","Asian/Pacific Islander","2013",6.8,"Nonwhite"
"20","Black","2013",7.4,"Nonwhite"
"21","Hispanic","2013",6.1,"Nonwhite"
"22","Two or More Races","2013",3.4,"Nonwhite"
"23","Race Unknown","2013",5.2,"Unknown"
"24","American Indian","2013",0.3,"Nonwhite"
"25","White","2014",60.3,"White"
"26","International","2014",9.5,"International"
"27","Asian/Pacific Islander","2014",7.7,"Nonwhite"
"28","Black","2014",7.3,"Nonwhite"
"29","Hispanic","2014",6.4,"Nonwhite"
"30","Two or More Races","2014",3.6,"Nonwhite"
"31","Race Unknown","2014",4.9,"Unknown"
"32","American Indian","2014",0.3,"Nonwhite"
"33","White","2015",58.7,"White"
"34","International","2015",10,"International"
"35","Asian/Pacific Islander","2015",8.5,"Nonwhite"
"36","Black","2015",7.3,"Nonwhite"
"37","Hispanic","2015",6.8,"Nonwhite"
"38","Two or More Races","2015",3.7,"Nonwhite"
"39","Race Unknown","2015",4.7,"Unknown"
"40","American Indian","2015",0.3,"Nonwhite"
"41","White","2016",56.8,"White"
"42","International","2016",10.5,"International"
"43","Asian/Pacific Islander","2016",8.9,"Nonwhite"
"44","Black","2016",7.9,"Nonwhite"
"45","Hispanic","2016",7.3,"Nonwhite"
"46","Two or More Races","2016",4,"Nonwhite"
"47","Race Unknown","2016",4.1,"Unknown"
"48","American Indian","2016",0.3,"Nonwhite"
"49","White","2017",54.9,"White"
"50","International","2017",10.8,"International"
"51","Asian/Pacific Islander","2017",9.9,"Nonwhite"
"52","Black","2017",8.7,"Nonwhite"
"53","Hispanic","2017",7.7,"Nonwhite"
"54","Two or More Races","2017",4.2,"Nonwhite"
"55","Race Unknown","2017",3.5,"Unknown"
"56","American Indian","2017",0.4,"Nonwhite"
"57","White","2018",53.4,"White"
"58","International","2018",11,"International"
"59","Asian/Pacific Islander","2018",10.1,"Nonwhite"
"60","Black","2018",9.4,"Nonwhite"
"61","Hispanic","2018",7.9,"Nonwhite"
"62","Two or More Races","2018",4.3,"Nonwhite"
"63","Race Unknown","2018",3.5,"Unknown"
"64","American Indian","2018",0.4,"Nonwhite"
"65","White","2019",52.1,"White"
"66","International","2019",11.9,"International"
"67","Asian/Pacific Islander","2019",10.3,"Nonwhite"
"68","Black","2019",9.5,"Nonwhite"
"69","Hispanic","2019",8.1,"Nonwhite"
"70","Two or More Races","2019",4.4,"Nonwhite"
"71","Race Unknown","2019",3.4,"Unknown"
"72","American Indian","2019",0.4,"Nonwhite"
"73","White","2020",52.2,"White"
"74","International","2020",10.3,"International"
"75","Asian/Pacific Islander","2020",11.2,"Nonwhite"
"76","Black","2020",9.5,"Nonwhite"
"77","Hispanic","2020",8.6,"Nonwhite"
"78","Two or More Races","2020",4.5,"Nonwhite"
"79","Race Unknown","2020",3.3,"Unknown"
"80","American Indian","2020",0.3,"Nonwhite"
"81","White","2021",50.4,"White"
"82","International","2021",11.7,"International"
"83","Asian/Pacific Islander","2021",11.7,"Nonwhite"
"84","Black","2021",9.2,"Nonwhite"
"85","Hispanic","2021",9.1,"Nonwhite"
"86","Two or More Races","2021",4.5,"Nonwhite"
"87","Race Unknown","2021",2.9,"Unknown"
"88","American Indian","2021",0.3,"Nonwhite"
"89","White","2022",48.6,"White"
"90","International","2022",12.5,"International"
"91","Asian/Pacific Islander","2022",12.6,"Nonwhite"
"92","Black","2022",9.3,"Nonwhite"
"93","Hispanic","2022",9.3,"Nonwhite"
"94","Two or More Races","2022",4.7,"Nonwhite"
"95","Race Unknown","2022",2.7,"Unknown"
"96","American Indian","2022",0.3,"Nonwhite"
