"","Type","Race","Year","Percentage","Race Category"
"1","Undergraduate","White","2011",62.4,"White"
"2","Undergraduate","International","2011",5.4,"International"
"3","Undergraduate","Asian/Pacific Islander","2011",7.5,"Nonwhite"
"4","Undergraduate","Black","2011",7.5,"Nonwhite"
"5","Undergraduate","Hispanic","2011",7.7,"Nonwhite"
"6","Undergraduate","Two or More Races","2011",4.1,"Nonwhite"
"7","Undergraduate","Race Unknown","2011",5.1,"Unknown"
"8","Undergraduate","American Indian","2011",0.3,"Nonwhite"
"9","Graduate","White","2011",57.6,"White"
"10","Graduate","International","2011",22.7,"International"
"11","Graduate","Asian/Pacific Islander","2011",3.8,"Nonwhite"
"12","Graduate","Black","2011",6.3,"Nonwhite"
"13","Graduate","Hispanic","2011",4,"Nonwhite"
"14","Graduate","Two or More Races","2011",2.1,"Nonwhite"
"15","Graduate","Race Unknown","2011",3.2,"Unknown"
"16","Graduate","American Indian","2011",0.2,"Nonwhite"
"17","Professional","White","2011",69.1,"White"
"18","Professional","International","2011",7.4,"International"
"19","Professional","Asian/Pacific Islander","2011",5.6,"Nonwhite"
"20","Professional","Black","2011",6.6,"Nonwhite"
"21","Professional","Hispanic","2011",2.9,"Nonwhite"
"22","Professional","Two or More Races","2011",1.8,"Nonwhite"
"23","Professional","Race Unknown","2011",6.5,"Unknown"
"24","Professional","American Indian","2011",0.1,"Nonwhite"
"25","Undergraduate","White","2012",62.2,"White"
"26","Undergraduate","International","2012",5.8,"International"
"27","Undergraduate","Asian/Pacific Islander","2012",8.1,"Nonwhite"
"28","Undergraduate","Black","2012",7.6,"Nonwhite"
"29","Undergraduate","Hispanic","2012",7.9,"Nonwhite"
"30","Undergraduate","Two or More Races","2012",4.6,"Nonwhite"
"31","Undergraduate","Race Unknown","2012",3.5,"Unknown"
"32","Undergraduate","American Indian","2012",0.3,"Nonwhite"
"33","Graduate","White","2012",56.7,"White"
"34","Graduate","International","2012",23.5,"International"
"35","Graduate","Asian/Pacific Islander","2012",3.6,"Nonwhite"
"36","Graduate","Black","2012",5.4,"Nonwhite"
