Year,Entity Type,Entity Name,EIN,Purpose,Address,Legal Domicile,Total Income,Total Assets at year end,Percentage Ownership,Direct Controlling Entity,Notes
2001,,Signature Health Alliance Inc,62-1590293,Medical health services,"618 Church Street, Suite 301 Nashville, TN 37219",,217441,948098,50,,
2001,,Legend International USA Inc. and Subsidiaries,62-1429615,Golf activities,"1500 Legends Club Lane Franklin, TN 37069",,7159,2772462,70,,
2002,,Signature Health Alliance Inc,62-1590293,Medical health services,"Nashville, TN",,109253,1038937,50,,
2002,,Legend International USA Inc. and Subsidiaries,62-1429615,Golf activities,"Franklin, TN",,95773,2626846,70,,
2003,,Legend International USA Inc.,62-1429615,Golf Activities,"1500 Legends Club Lane Franklin, TN 37069",,10734,2346535,100,,
2003,,Signature Health Alliance Inc,62-1590293,Medical Services,"618 Church Street, Suite 301 Nashville, TN 37219",,1561002,1152978,50,,
2003,,ZTIPS INC,65-0769632,Investment Holding,"2100 West End Ave Suite 750 Nashville, TN 37203",,$181,$557,100,,
2003,,Vanderbilt-Williamson Cancer Center LLC,-,Healthcare,"Nashville, TN 37203",,1862185,5666535,100,,
2003,,Mariner Commodore Fund Ltd,-,Investments,"Georgetown Grand Cayman, Cayman Islands",,"$9,026,193","$105,759,575",92.32,,
2003,,Stinson Capital Partners II LP,94-3264850,Investments,"909 Montgomer St Suite 400 San Francisco, CA 94133",,"$99,648","$99,635,021",99.79,,
2003,,Alternative Fixed Income Fund,65-0769632,Investments,"1250 E Hallendale Beach Blvd STE Hallendale, FL 33009",,"$5,104,120","$15,593,882",97.36,,
2005,,Vanderbilt Legends Club INC,62-1429615,Golf course,"1500 Legends Club Lane Franklin, TN 37069",,12722,2609733,100,,
2004,,ZTIPS INC,65-0769632,Investment Holding,"2100 West End Ave Suite 750 Nashville, TN 37203",,$170,$560,100,,
2005,,Vanderbilt-Williamson Cancer Center LLC,62-1864145,Healthcare,"2107 Edward Curd Ln, Franklin, TN 37067",,3977328,4929838,100,,
2005,,Vanderbilt Cardiology Services,62-1749420,Lab Facility,"4230 Harding Road, Suite 900 Nashville, TN 37025",,0,2574,50,,
2005,,VUCH Donation LLC,,Holding Company,"2100 West End Ave Suite 750 Nashville, TN 37203",,"$29,700",$1,100,,
2004,,Mariner Commodore Fund Ltd,-,Investments,"Georgetown Grand Cayman, Cayman Islands",,"$6,060,521","$107,937,385",92.32,,
2004,,Stinson Capital Partners II LP,94-3264850,Investments,"909 Montgomer St Suite 400 San Francisco, CA 94133",,"$19,460,933","$114,838,567",97.32,,
2004,,Alternative Fixed Income Fund,65-0769632,Investments,"1250 E Hallendale Beach Blvd STE Hallendale, FL 33009",,"$300,672","$13,847,762",97.3052,,
2006,,Vanderbilt Legends Club INC,62-1429615,Golf course,"1500 Legends Club Lane Franklin, TN 37069",,3112959,16201494,100,,
2006,,Vanderbilt Cardiology Services,62-1749420,Lab Facility,"4230 Harding Road Suite 900 Nashville, TN 37205",,0,2724,50,,
2005,,ZTIPS INC,62-1865562,Investment Holding,"2100 West End Ave Suite 750 Nashville, TN 37203",-,$34,$595,100,-,
2006,,Vanderbilt-Williamson Cancer Center LLC,62-1864145,Healthcare,"2107 Edward Curd Ln, Franklin, TN 37067",,3509887,5337303,100,,
2005,,Manner Commodore Fund Ltd,,Investments,"Georgetown Grand Cayman, Cayman Islands",-,"$3,241,255","$49,322,608",100,-,
2006,,VUCH Donation LLC,62-0476822,Holding Company,"2100 West End Ave Suite 750 Nashville, TN 37203",,$0,$1,100,,
2005,,Stinson Capital Partners II LP,94-3264850,Investments,"909 Montgomer St Suite 400 San Francisco, CA 94133",-,"$19,961,783","$143,663,711",95.6842,-,
2006,,Vanderbilt-Gateway Cancer CTR,20-0769431,Healthcare,"3319 West End Ave Suite 700 Nashville, TN 37203",,3655259,7371609,50,,
2004,,Legend International USA Inc.,62-1429615,Golf Activities,"1500 Legends Club Lane Franklin, TN 37069",,"11,418",2091002,100,,
2005,,Alternative Fixed Income Fund,65-0769632,Investments,"1250 E Hallendale Beach Blvd STE Hallendale, FL 33009",-,"$3,545,474","$13,285,085",93.3551,-,
2004,,Vanderbilt-Williamson Cancer Center LLC,62-1864145,Healthcare,"Nashville, TN 37203",,3261956,5323564,100,,
2006,,ZTIPS INC,62-1865562,Investment Holding,"2100 West End Ave Suite 750 Nashville, TN 37203",,$53,$630,100,,
2006,,Stinson Capital Partners II LP,94-3264850,Investments,"909 Montgomer St Suite 400 San Francisco, CA 94133",,"$1,561,649","$136,946,135",95.68,,
2006,,Alternative Fixed Income Fund,65-0769632,Investments,"1250 E Hallendale Beach Blvd STE Hallendale, FL 33009",,"$4,217,994","$13,994,791",97.36,,
2004,,Vanderbilt Cardiology SVC LLC,62-1749420,Lab Facility,"2100 West End Avenue, STE 750 Nashville, TN 37203",,-,-,50,,
2004,,VUCH Donation LLC,-,Holding Company,"2100 West End Ave Suite 750 Nashville, TN 37203",,"$20,001",$1,100,,
2004,,Vanderbilt-Gateway Cancer CTR,20-0769431,Healthcare,"375 Alfred Thun Road Clarksville, TN 37040",,-,-,50,,
2007,,Vanderbilt Legends Club INC,62-1429615,Golf course,"1500 Legends Club Lane Franklin, TN 37069",,6464423,15641509,100,,
2007,,Vanderbilt Cardiology Services,62-1749420,Lab Facility,"2100 West End Avenue Suite 750 Nashville, TN 37203",,0,3024,50,,
2007,,ZTIPS INC,62-1865562,Investment Holding,"2100 West End Ave Suite 750 Nashville, TN 37203",,$2,$650,100,,
2007,,Vanderbilt-Williamson Cancer Center LLC,62-1864145,Healthcare,"2107 Edward Curd Ln, Franklin, TN 37067",,4620031,5294551,100,,
