"","x"
"1","Troy University"
"2","Univ Of Al Huntsville"
"3","Univ Of Alabama"
"4","Univ Of North Al"
"5","Az State Univ"
"6","Univ Of Ar Little Rock"
"7","Univ Of Ar Med Science"
"8","Univ Of Ar"
"9","Ca State Univ San L Obispo"
"10","Adams State University"
"11","Univ Of N Co"
"12","Eastern Ct State Univ"
"13","Florida International Univ"
"14","Univ Of South Fl Tampa"
"15","Kennesaw State Univ"
"16","Univ Of West Georgia"
"17","Valdosta State Univ"
"18","Il State University"
"19","Purdue Univ Fort Wayne"
"20","Purdue University"
"21","Fort Hays State Univ"
"22","Univ Of Kentucky"
"23","Univ Of Louisville"
"24","Northwestern State Univ"
"25","Southeastern La Univ"
"26","Univ Of Me At Farmington"
"27","Univ Of Me"
"28","Morgan State Univ"
"29","Univ Of Md Eastern Shore"
"30","Univ Of Ma Amherst"
"31","Mi State University"
"32","Saginaw Valley State Univ"
"33","Univ Of Mi"
"34","Western Mi University"
"35","Lincoln University"
"36","Nm State University"
"37","Univ Of Nd"
"38","Central State Univ"
"39","Mount St. Joseph Univ."
"40","Oh State Univ"
"41","Univ Of Akron"
"42","Univ Of Cincinnati"
"43","Youngstown State Univ Acad"
"44","Mid-America Christian Univ"
"45","Univ Of Ok Health Sciences"
"46","Clemson University"
"47","Medical Univ Of Sc"
"48","Sc State Univ"
"49","Univ Of Sc Upstate"
"50","Univ. Of S. Carolina Aiken"
"51","Angelo State Univ"
"52","Tarleton State Univ"
"53","Tx Southern University"
"54","Univ Of Texas System"
"55","Old Dominion University"
"56","Univ Of Va"
"57","Central Washington Univ"
"58","Univ Of Wi La Crosse"
"59","Univ Of Wi Platteville"
