"","X","Map_.amp._Parcel","Location","Current_Owner","Mailing_Address","Legal_Description","Assessment_Classification.","Sale_Date","Sale_Price","Assessment_Year","Last_Reappraisal_Year","Improvement_Value","Land_Value","Total_Appraisal_Value","Assessed_Value","Property_Use","Zone","Neighborhood","Land_Area","Property_Type","Year_Built","Square_Footage","Exterior_Wall","Story_Height","Building_Condition","Foundation_Type","Number_of_Rooms","Number_of_Beds","Number_of_Baths","Number_of_Half_Bath","Number_of_Fixtures","lat","lng","Year","Month","Date","Num_Sale_Price","Num_Assessed_Value"
"1",2," 092 16 0 043.00"," 2019 WEST END AVE, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE, STE 750 C/O SEAN SCAL, NASHVILLE, TN 37203"," PT LOT 10 &amp; LOTS 11 &amp; 12 JOHN H. WILLIAMS"," COM"," 11/17/2022"," $0",2022,2021," $51,000"," $5,600,000"," $5,651,000"," $2,260,400"," FAST FOOD",2,911," 0.48 Acres"," REST/BAR",1973," 3,431"," STUCCO"," 1 STY"," Average"," TYPICAL",0,0,0,0,0,36.1502990155249,-86.8006179606545,"2022","11","17",0,2260400
"2",9," 092 16 0 075.00"," 2008 BROADWAY, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT 37 JOHN H WILLIAMS &amp; PT OF CL ALLEY"," EXE"," 06/23/2015"," $0",2022,2021," $15,500"," $2,254,100"," $2,269,600"," $0"," PARKING LOT",2,1011," 0.23 Acres","",NA," 0","","","","",NA,NA,NA,NA,NA,36.1493679956297,-86.798834962211,"2015","06","23",0,0
"3",10," 092 16 0 076.00"," 2006 BROADWAY, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT 36 JOHN H WILLIAMS &amp; PT OF CL ALLEY"," EXE"," 06/23/2015"," $0",2022,2021," $4,594,600"," $2,058,300"," $6,652,900"," $0"," SCHOOL OR COLLEGE",2,1011," 0.21 Acres"," MID RISE APT",1962," 27,400"," BRICK"," 5 STY"," Average"," TYPICAL",0,0,0,0,0,36.1494669859062,-86.7986919669428,"2015","06","23",0,0
"4",11," 092 16 0 077.00"," 2004 BROADWAY, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT 35 JOHN H WILLIAMS"," EXE"," 06/23/2015"," $0",2022,2021," $14,100"," $1,788,800"," $1,802,900"," $0"," PARKING LOT",2,1011," 0.19 Acres","",NA," 0","","","","",NA,NA,NA,NA,NA,36.1496070055988,-86.7987049588928,"2015","06","23",0,0
"5",12," 092 16 0 078.00"," 2002 BROADWAY, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," PT LOT 34 JOHN H WILLIAMS"," EXE"," 06/23/2015"," $0",2022,2021," $11,500"," $1,372,100"," $1,383,600"," $0"," PARKING LOT",2,1011," 0.14 Acres","",NA," 0","","","","",NA,NA,NA,NA,NA,36.1496220092055,-86.7984369894482,"2015","06","23",0,0
"6",13," 092 16 0 079.00"," 2000 BROADWAY, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750, NASHVILLE, TN 37203"," LOT 33 &amp; PT 34 JOHN H WILLIAMS"," COM"," 09/24/2015"," $0",2022,2021," $18,500"," $1,577,300"," $1,595,800"," $638,320"," PARKING LOT",2,1011," 0.16 Acres","",NA," 0","","","","",NA,NA,NA,NA,NA,36.1496720072579,-86.7982659986235,"2015","09","24",0,638320
"7",14," 104 02 0 381.00"," 114 30TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750 C/O SEAN SCALL, NASHVILLE, TN 37203"," LOT 1 BADGER-BOGLE SUB"," COM"," 01/25/2023"," $0",2022,2021," $491,300"," $1,536,000"," $2,027,300"," $810,920"," OFFICE BLDG (ONE OR TWO STORIES)",2,2111," 0.28 Acres"," OFFICE",1982," 3,481"," BRICK"," 1 STY"," Average"," TYPICAL",0,0,0,0,0,36.1428509820918,-86.8136420132656,"2023","01","25",0,810920
"8",15," 104 02 0 382.00"," 116 30TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750 C/O SEAN SCALL, NASHVILLE, TN 37203"," LOT 2 HENRY GEORGE"," COM"," 01/25/2023"," $0",2022,2021," $455,200"," $800,000"," $1,255,200"," $502,080"," OFFICE BLDG (ONE OR TWO STORIES)",2,2111," 0.14 Acres"," OFFICE",1984," 3,072"," BRICK"," 2 STY"," Average"," TYPICAL",0,0,0,0,0,36.1426900076413,-86.813489965542,"2023","01","25",0,502080
"9",16," 104 02 0 392.00"," 115 29TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750 C/O SEAN SCALL, NASHVILLE, TN 37203"," LOTS 23 &amp; 24 WILLIAMS SUB 55 B C S"," COM"," 01/25/2023"," $0",2022,2021," $996,200"," $1,687,500"," $2,683,700"," $1,073,480"," OFFICE BLDG (ONE OR TWO STORIES)",2,2111," 0.31 Acres"," OFFICE",1997," 7,748"," BRICK"," 2 STY"," Average"," TYPICAL",0,0,0,0,0,36.1430259962301,-86.813028038858,"2023","01","25",0,1073480
"10",17," 104 02 0 393.00"," 113 29TH AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AVE STE 750 C/O SEAN SCALL, NASHVILLE, TN 37203"," LOT 25 WILLIAMS SUB 55 B C S"," COM"," 01/25/2023"," $0",2022,2021," $90,800"," $843,800"," $934,600"," $373,840"," OFFICE BLDG (ONE OR TWO STORIES)",2,2111," 0.15 Acres"," SINGLE FAM",1924," 1,440"," BRICK"," ONE STY"," Average"," PT BSMT",6,2,1,0,5,36.1431979928832,-86.8131980238544,"2023","01","25",0,373840
